step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
0,3930.489808633,0.00029003500003454974,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547, 0.0, 0.0, 0.0, 0.0]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632171837234775, 0.15009189434153636, 0.09354787007914714]","[-0.005632248246384894, 0.002804708999533695, -0.0006606016520675495]",0,0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,False,True,False,0.6,,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]",0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,0.0
1,3941.680496252,0.0002140410001629789,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547, 0.0, 0.0, 0.0, 0.0]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.01124771038684673, 0.15250620905874715, 0.09268884232347112]","[-0.005632248246384894, 0.002804708999533695, -0.0006606016520675495]",0,0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,False,True,False,0.6,,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]",0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,0.0
2,3953.357558861,0.0003211519997421419,"[-0.012470962597495493, 0.005817469532895998, -0.0021043397544600138, 0.0, 0.0, 0.0, 0.0]","[-0.01, 0.005817469532895998, -0.0021043397544600138]","[-0.01, 0.005817469532895998, -0.0021043397544600138]","[-0.021204231649154963, 0.15791889915009574, 0.09036687853550043]","[-0.010000000000000002, 0.005817469532895997, -0.002104339754460019]",0,0.013921066973350337,0.011758877394053142,0.011758877394053142,0.0024709625974954925,False,True,False,0.6,,"[-0.012470962597495493, 0.005817469532895998, -0.0021043397544600138]","[-0.012470962597495493, 0.005817469532895998, -0.0021043397544600138]",0.013921066973350337,0.013921066973350337,0.013921066973350337,0.0,0.007611118164617557
3,3964.698499198,0.00022562300000572577,"[-0.012470962597495493, 0.005817469532895998, -0.0021043397544600138, 0.0, 0.0, 0.0, 0.0]","[-0.01, 0.005817469532895998, -0.0021043397544600138]","[-0.01, 0.005817469532895998, -0.0021043397544600138]","[-0.031097728816937044, 0.16297152490041356, 0.08817500668921367]","[-0.009999999999999998, 0.005817469532895997, -0.002104339754460019]",0,0.013921066973350337,0.011758877394053142,0.011758877394053142,0.0024709625974954925,False,True,False,0.6,,"[-0.012470962597495493, 0.005817469532895998, -0.0021043397544600138]","[-0.012470962597495493, 0.005817469532895998, -0.0021043397544600138]",0.013921066973350337,0.013921066973350337,0.013921066973350337,0.0,0.0
4,3976.10274234,0.00030159600009938003,"[-0.012470962597495493, 0.007181738453663832, 0.000439389283088603, 0.0, 0.0, 0.0, 0.0]","[-0.01, 0.007181738453663832, 0.000439389283088603]","[-0.01, 0.007181738453663832, 0.000439389283088603]","[-0.04093938429798753, 0.1693423140037039, 0.0884787887417485]","[-0.009999999999999998, 0.007181738453663822, 0.0004393892830886065]",0,0.014397754625880329,0.012319514201417477,0.012319514201417477,0.0024709625974954925,False,True,False,0.6,,"[-0.012470962597495493, 0.007181738453663832, 0.000439389283088603]","[-0.012470962597495493, 0.007181738453663832, 0.000439389283088603]",0.014397754625880329,0.014397754625880329,0.014397754625880329,0.0,0.002886483518858378
5,3987.611595249,0.00021904100003666827,"[-0.008714485700406572, 0.009284986373180908, 0.0017456285185865408, 0.0, 0.0, 0.0, 0.0]","[-0.008714485700406572, 0.009284986373180908, 0.0017456285185865408]","[-0.008714485700406572, 0.009284986373180908, 0.0017456285185865408]","[-0.04941088740459962, 0.17763586979296153, 0.08974099394674234]","[-0.008714485700406574, 0.009284986373180898, 0.0017456285185865478]",0,0.012853032789876808,0.012853032789876808,0.012853032789876808,0.0,False,True,False,0.6,,"[-0.008714485700406572, 0.009284986373180908, 0.0017456285185865408]","[-0.008714485700406572, 0.009284986373180908, 0.0017456285185865408]",0.012853032789876808,0.012853032789876808,0.012853032789876808,0.0,0.004499003381824684
6,3998.921095045,0.00021141699971849448,"[-0.007847606416462975, 0.010990322524140698, 0.000439389283088603, 0.0, 0.0, 0.0, 0.0]","[-0.007847606416462975, 0.01, 0.000439389283088603]","[-0.007847606416462975, 0.01, 0.000439389283088603]","[-0.05692574180014029, 0.18644830319807212, 0.08945863545796208]","[-0.007847606416462975, 0.010000000000000009, 0.0004393892830886065]",0,0.013511668238764535,0.012719197671622372,0.012719197671622372,0.000990322524140698,False,True,False,0.6,,"[-0.007847606416462975, 0.010990322524140698, 0.000439389283088603]","[-0.007847606416462975, 0.010990322524140698, 0.000439389283088603]",0.013511668238764535,0.013511668238764535,0.013511668238764535,0.0,0.0023164438307576446
7,4010.206449673,0.0003413909998926101,"[-0.004572729121564943, 0.009114452758084928, 0.001883127385481062, 0.0, 0.0, 0.0, 0.0]","[-0.004572729121564943, 0.009114452758084928, 0.001883127385481062]","[-0.004572729121564943, 0.009114452758084928, 0.001883127385481062]","[-0.061105096225250934, 0.19433302496490945, 0.09067071544154746]","[-0.004572729121564943, 0.009114452758084923, 0.001883127385481062]",0,0.010369632078744105,0.010369632078744105,0.010369632078744105,0.0,False,True,False,0.6,,"[-0.004572729121564943, 0.009114452758084928, 0.001883127385481062]","[-0.004572729121564943, 0.009114452758084928, 0.001883127385481062]",0.010369632078744105,0.010369632078744105,0.010369632078744105,0.0,0.004040802938048397
8,4021.56015747,0.00032323699997505173,"[-0.0035132099967449884, 0.009626053603372865, 0.002295623986164619, 0.0, 0.0, 0.0, 0.0]","[-0.0035132099967449884, 0.009626053603372865, 0.002295623986164619]","[-0.0035132099967449884, 0.009626053603372865, 0.002295623986164619]","[-0.06427227612093478, 0.2, 0.09205316607967891]","[-0.0035132099967449884, 0.006709201301345419, 0.002295623986164619]",0,0.010501116223625514,0.010501116223625514,0.010501116223625514,0.0,False,True,False,0.6,,"[-0.0035132099967449884, 0.009626053603372865, 0.002295623986164619]","[-0.0035132099967449884, 0.009626053603372865, 0.002295623986164619]",0.010501116223625514,0.010501116223625514,0.010501116223625514,0.0,0.001246783720752747
9,4032.822727052,0.00028738899982272414,"[-0.0030316103945541035, 0.00922814183481558, 0.0022268745527173617, 0.0, 0.0, 0.0, 0.0]","[-0.0030316103945541035, 0.00922814183481558, 0.0022268745527173617]","[-0.0030316103945541035, 0.00922814183481558, 0.0022268745527173617]","[-0.06705268247622626, 0.2, 0.09327498153766227]","[-0.0030316103945541018, 0.0007798738171251596, 0.0022268745527173617]",0,0.009965351653673947,0.009965351653673947,0.009965351653673947,0.0,False,True,False,0.6,,"[-0.0030316103945541035, 0.00922814183481558, 0.0022268745527173617]","[-0.0030316103945541035, 0.00922814183481558, 0.0022268745527173617]",0.009965351653673947,0.009965351653673947,0.009965351653673947,0.0,0.0006284890110305219
