step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
0,1992.210119755,0.00024098199992295122,"[0.00563718244488187, 0.0028047089995336992, -0.0006606016520675547, 0.0, 0.0, 0.0, 0.0]","[0.005, 0.0028047089995336992, -0.0006606016520675547]","[0.005, 0.0028047089995336992, -0.0006606016520675547]","[0.005000076409150119, 0.15009189434153636, 0.09354787007914714]","[0.005, 0.002804708999533695, -0.0006606016520675495]",0,0.006330925132369206,0.005770856705445016,0.005770856705445016,0.0006371824448818701,False,True,False,0.6,,"[0.00563718244488187, 0.0028047089995336992, -0.0006606016520675547]","[0.00563718244488187, 0.0028047089995336992, -0.0006606016520675547]",0.006330925132369206,0.006330925132369206,0.006330925132369206,0.0,0.0
1,2004.652106022,0.0004355080000095768,"[0.00563718244488187, 0.0028047089995336992, -0.0006606016520675547, 0.0, 0.0, 0.0, 0.0]","[0.005, 0.0028047089995336992, -0.0006606016520675547]","[0.005, 0.0028047089995336992, -0.0006606016520675547]","[0.009979976556970561, 0.15251082483985237, 0.09268429991357259]","[0.005000000000000001, 0.002804708999533695, -0.0006606016520675495]",0,0.006330925132369206,0.005770856705445016,0.005770856705445016,0.0006371824448818701,False,True,False,0.6,,"[0.00563718244488187, 0.0028047089995336992, -0.0006606016520675547]","[0.00563718244488187, 0.0028047089995336992, -0.0006606016520675547]",0.006330925132369206,0.006330925132369206,0.006330925132369206,0.0,0.0
2,2017.09110776,0.00028079799994884524,"[0.00823782029671266, 0.007011204838567851, -0.0021043397544600138, 0.0, 0.0, 0.0, 0.0]","[0.005, 0.005, -0.0021043397544600138]","[0.005, 0.005, -0.0021043397544600138]","[0.014944735038233452, 0.1571108964074605, 0.09036775023086256]","[0.004999999999999999, 0.0050000000000000044, -0.002104339754460019]",0,0.011020295927582396,0.007377550121971442,0.007377550121971442,0.0038116171340368365,False,True,False,0.6,,"[0.00823782029671266, 0.007011204838567851, -0.0021043397544600138]","[0.00823782029671266, 0.007011204838567851, -0.0021043397544600138]",0.011020295927582396,0.011020295927582396,0.011020295927582396,0.0,0.005151922377956259
3,2028.707206604,0.00028251100002307794,"[0.00823782029671266, 0.007011204838567851, -0.0021043397544600138, 0.0, 0.0, 0.0, 0.0]","[0.005, 0.005, -0.0021043397544600138]","[0.005, 0.005, -0.0021043397544600138]","[0.019883757556225398, 0.16148534242710066, 0.08818091512301282]","[0.004999999999999999, 0.0050000000000000044, -0.002104339754460019]",0,0.011020295927582396,0.007377550121971442,0.007377550121971442,0.0038116171340368365,False,True,False,0.6,,"[0.00823782029671266, 0.007011204838567851, -0.0021043397544600138]","[0.00823782029671266, 0.007011204838567851, -0.0021043397544600138]",0.011020295927582396,0.011020295927582396,0.011020295927582396,0.0,0.0
4,2040.254223967,0.0002653590001955308,"[0.00823782029671266, 0.009512364526642213, -0.00423557219132507, 0.0, 0.0, 0.0, 0.0]","[0.005, 0.005, -0.00423557219132507]","[0.005, 0.005, -0.00423557219132507]","[0.024803756938954556, 0.16584699544674458, 0.08382473522964053]","[0.005000000000000001, 0.0050000000000000044, -0.004235572191325074]",0,0.013277305220434545,0.008242576768700808,0.008242576768700808,0.005553819757167445,False,True,False,0.6,,"[0.00823782029671266, 0.009512364526642213, -0.00423557219132507]","[0.00823782029671266, 0.009512364526642213, -0.00423557219132507]",0.013277305220434545,0.013277305220434545,0.013277305220434545,0.0,0.0032860236586479425
5,2051.223348506,0.00030498199976136675,"[0.00823782029671266, 0.009512364526642213, -0.00423557219132507, 0.0, 0.0, 0.0, 0.0]","[0.005, 0.005, -0.00423557219132507]","[0.005, 0.005, -0.00423557219132507]","[0.02969318122575864, 0.1701976352338204, 0.07966606705308518]","[0.005000000000000001, 0.0050000000000000044, -0.004235572191325074]",0,0.013277305220434545,0.008242576768700808,0.008242576768700808,0.005553819757167445,False,True,False,0.6,,"[0.00823782029671266, 0.009512364526642213, -0.00423557219132507]","[0.00823782029671266, 0.009512364526642213, -0.00423557219132507]",0.013277305220434545,0.013277305220434545,0.013277305220434545,0.0,0.0
6,2063.188597492,0.0002888029998757702,"[0.004481343399623737, 0.012411435983273858, -0.006023057460953829, 0.0, 0.0, 0.0, 0.0]","[0.004481343399623737, 0.005, -0.005]","[0.004481343399623737, 0.005, -0.005]","[0.034054949432872295, 0.17452616121461917, 0.07470080240174772]","[0.004481343399623736, 0.0050000000000000044, -0.0050000000000000044]",0,0.014505288794443493,0.008371525468237627,0.008371525468237627,0.007481713032626942,False,True,False,0.6,,"[0.004481343399623737, 0.012411435983273858, -0.006023057460953829]","[0.004481343399623737, 0.012411435983273858, -0.006023057460953829]",0.014505288794443493,0.014505288794443493,0.014505288794443493,0.0,0.005070585526165488
7,2074.139206077,0.00027308300013828557,"[0.004481343399623737, 0.012411435983273858, -0.006023057460953829, 0.0, 0.0, 0.0, 0.0]","[0.004481343399623737, 0.005, -0.005]","[0.004481343399623737, 0.005, -0.005]","[0.03840213146523867, 0.1788437264450628, 0.06978383438712638]","[0.004481343399623736, 0.0050000000000000044, -0.0050000000000000044]",0,0.014505288794443493,0.008371525468237627,0.008371525468237627,0.007481713032626942,False,True,False,0.6,,"[0.004481343399623737, 0.012411435983273858, -0.006023057460953829]","[0.004481343399623737, 0.012411435983273858, -0.006023057460953829]",0.014505288794443493,0.014505288794443493,0.014505288794443493,0.0,0.0
8,2084.683591872,0.00028019699993819813,"[0.004481343399623737, 0.012809347751831143, 0.000439389283088603, 0.0, 0.0, 0.0, 0.0]","[0.004481343399623737, 0.005, 0.000439389283088603]","[0.004481343399623737, 0.005, 0.000439389283088603]","[0.04272745222044163, 0.1831373223910525, 0.07025938330228702]","[0.004481343399623736, 0.0050000000000000044, 0.0004393892830886065]",0,0.01357773513642043,0.006728707276100243,0.006728707276100243,0.007809347751831143,False,True,False,0.6,,"[0.004481343399623737, 0.012809347751831143, 0.000439389283088603]","[0.004481343399623737, 0.012809347751831143, 0.000439389283088603]",0.01357773513642043,0.01357773513642043,0.01357773513642043,0.0,0.006474685451444033
9,2095.446850301,0.000305143000332464,"[0.0050592629222528055, 0.012411435983273858, -0.006023057460953829, 0.0, 0.0, 0.0, 0.0]","[0.005, 0.005, -0.005]","[0.005, 0.005, -0.005]","[0.047557186681121445, 0.18741161032575654, 0.06468309075053509]","[0.0049999999999999975, 0.0050000000000000044, -0.0050000000000000044]",0,0.014694118063406824,0.008660254037844387,0.008660254037844387,0.007481947740831513,False,True,False,0.6,,"[0.0050592629222528055, 0.012411435983273858, -0.006023057460953829]","[0.0050592629222528055, 0.012411435983273858, -0.006023057460953829]",0.014694118063406824,0.014694118063406824,0.014694118063406824,0.0,0.006500426345231274
10,2106.030280152,0.00035688099978870014,"[0.0050592629222528055, 0.012979881366927123, 2.6892682405044513e-05, 0.0, 0.0, 0.0, 0.0]","[0.005, 0.005, 2.6892682405044513e-05]","[0.005, 0.005, 2.6892682405044513e-05]","[0.052364428129085504, 0.19165604362795394, 0.06466292656109113]","[0.0049999999999999975, 0.0050000000000000044, 2.6892682405049717e-05]",0,0.013931051102926544,0.007071118950800286,0.007071118950800286,0.007980101423176563,False,True,False,0.6,,"[0.0050592629222528055, 0.012979881366927123, 2.6892682405044513e-05]","[0.0050592629222528055, 0.012979881366927123, 2.6892682405044513e-05]",0.013931051102926544,0.013931051102926544,0.013931051102926544,0.0,0.006076596653664348
11,2117.138044434,0.00027786900000137393,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922, 0.0, 0.0, 0.0, 0.0]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.05662600113693276, 0.19587564588440542, 0.06665980886725763]","[0.004481343399623736, 0.0050000000000000044, 0.0026393711534009184]",0,0.013824908989866722,0.007214479797653893,0.007214479797653893,0.007809347751831143,False,True,False,0.6,,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]","[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]",0.013824908989866722,0.013824908989866722,0.013824908989866722,0.0,0.002681066289730724
12,2128.014073193,0.00031072000001586275,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922, 0.0, 0.0, 0.0, 0.0]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.06088656685424156, 0.2, 0.0683535673132451]","[0.004481343399623736, 0.004885199510336891, 0.0026393711534009184]",0,0.013824908989866722,0.007214479797653893,0.007214479797653893,0.007809347751831143,False,True,False,0.6,,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]","[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]",0.013824908989866722,0.013824908989866722,0.013824908989866722,0.0,0.0
13,2138.701152093,0.0003355759999976726,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922, 0.0, 0.0, 0.0, 0.0]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.06513875142247182, 0.2, 0.06999173960702985]","[0.0044813433996237426, 0.0007501288191862077, 0.0026393711534009184]",0,0.013824908989866722,0.007214479797653893,0.007214479797653893,0.007809347751831143,False,True,False,0.6,,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]","[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]",0.013824908989866722,0.013824908989866722,0.013824908989866722,0.0,0.0
14,2149.602014968,0.0002283060002810089,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922, 0.0, 0.0, 0.0, 0.0]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.06949235674356848, 0.2, 0.07163103342996346]","[0.004481343399623736, 0.0003883477195818774, 0.0026393711534009184]",0,0.013824908989866722,0.007214479797653893,0.007214479797653893,0.007809347751831143,False,True,False,0.6,,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]","[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]",0.013824908989866722,0.013824908989866722,0.013824908989866722,0.0,0.0
15,2161.349462157,0.00021434000018416555,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922, 0.0, 0.0, 0.0, 0.0]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.07384807818313922, 0.2, 0.07325343964212257]","[0.004481343399623736, 0.0003578296041504836, 0.0026393711534009184]",0,0.013824908989866722,0.007214479797653893,0.007214479797653893,0.007809347751831143,False,True,False,0.6,,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]","[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]",0.013824908989866722,0.013824908989866722,0.013824908989866722,0.0,0.0
16,2172.918271395,0.000218298000163486,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922, 0.0, 0.0, 0.0, 0.0]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.004481343399623737, 0.005, 0.002639371153400922]","[0.07819949149193862, 0.2, 0.07486222013192094]","[0.004481343399623736, 0.00034840647966735694, 0.0026393711534009184]",0,0.013824908989866722,0.007214479797653893,0.007214479797653893,0.007809347751831143,False,True,False,0.6,,"[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]","[0.004481343399623737, 0.012809347751831143, 0.002639371153400922]",0.013824908989866722,0.013824908989866722,0.013824908989866722,0.0,0.0
