step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
0,6004.194944291,0.00025825499960774323,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547, 0.0, 0.0, 0.0, 0.0]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632171837234775, 0.15009189434153636, 0.09354787007914714]","[-0.005632248246384894, 0.002804708999533695, -0.0006606016520675495]",0,0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,False,True,False,0.6,,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]",0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,0.0
1,6014.202701522,0.0003269339995313203,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547, 0.0, 0.0, 0.0, 0.0]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.01124771038684673, 0.15250620905874712, 0.0926888423234711]","[-0.0056322482463848945, 0.002804708999533695, -0.0006606016520675495]",0,0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,False,True,False,0.6,,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]",0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,0.0
2,6024.327596494,0.0002295199992659036,"[-0.005632248246384894, 0.007238582992029157, -0.0007981005189620742, 0.0, 0.0, 0.0, 0.0]","[-0.005632248246384894, 0.007238582992029157, -0.0007981005189620742]","[-0.005632248246384894, 0.007238582992029157, -0.0007981005189620742]","[-0.01683647989553985, 0.1593400126092288, 0.09167311777099832]","[-0.0056322482463848945, 0.007238582992029147, -0.0007981005189620777]",0,0.009206316770553087,0.009206316770553087,0.009206316770553087,0.0,False,True,False,0.6,,"[-0.005632248246384894, 0.007238582992029157, -0.0007981005189620742]","[-0.005632248246384894, 0.007238582992029157, -0.0007981005189620742]",0.009206316770553087,0.009206316770553087,0.009206316770553087,0.0,0.0044360054688565125
3,6035.037312077,0.0002608599997984129,"[-0.005632248246384894, 0.007238582992029157, -0.0007981005189620742, 0.0, 0.0, 0.0, 0.0]","[-0.005632248246384894, 0.007238582992029157, -0.0007981005189620742]","[-0.005632248246384894, 0.007238582992029157, -0.0007981005189620742]","[-0.02237520472840952, 0.1657207374570074, 0.09063929670248247]","[-0.0056322482463848945, 0.007238582992029147, -0.0007981005189620777]",0,0.009206316770553087,0.009206316770553087,0.009206316770553087,0.0,False,True,False,0.6,,"[-0.005632248246384894, 0.007238582992029157, -0.0007981005189620742]","[-0.005632248246384894, 0.007238582992029157, -0.0007981005189620742]",0.009206316770553087,0.009206316770553087,0.009206316770553087,0.0,0.0
4,6045.817618398,0.0002645269996719435,"[-0.0030316103945541035, 0.008091251067509053, 0.001608129651692023, 0.0, 0.0, 0.0, 0.0]","[-0.0030316103945541035, 0.008091251067509053, 0.001608129651692023]","[-0.0030316103945541035, 0.008091251067509053, 0.001608129651692023]","[-0.025288042929501306, 0.17294573904616625, 0.09196023729810165]","[-0.0030316103945541052, 0.008091251067509048, 0.0016081296516920196]",0,0.008788918386154577,0.008788918386154577,0.008788918386154577,0.0,False,True,False,0.6,,"[-0.0030316103945541035, 0.008091251067509053, 0.001608129651692023]","[-0.0030316103945541035, 0.008091251067509053, 0.001608129651692023]",0.008788918386154577,0.008788918386154577,0.008788918386154577,0.0,0.0036442151030755174
5,6056.568723533,0.00021066600038466277,"[-0.0013941717471050857, 0.005874314071261324, 0.0011956330510084628, 0.0, 0.0, 0.0, 0.0]","[-0.0013941717471050857, 0.005874314071261324, 0.0011956330510084628]","[-0.0013941717471050857, 0.005874314071261324, 0.0011956330510084628]","[-0.02654602840317247, 0.17789395391767765, 0.09254452284135956]","[-0.0013941717471050857, 0.005874314071261322, 0.0011956330510084628]",0,0.00615473956077011,0.00615473956077011,0.00615473956077011,0.0,False,True,False,0.6,,"[-0.0013941717471050857, 0.005874314071261324, 0.0011956330510084628]","[-0.0013941717471050857, 0.005874314071261324, 0.0011956330510084628]",0.00615473956077011,0.00615473956077011,0.00615473956077011,0.0,0.0027867846014837713
6,6067.332516307,0.00032700399970053695,"[-0.0013941717471050857, 0.005874314071261324, 0.0011956330510084628, 0.0, 0.0, 0.0, 0.0]","[-0.0013941717471050857, 0.005874314071261324, 0.0011956330510084628]","[-0.0013941717471050857, 0.005874314071261324, 0.0011956330510084628]","[-0.02783823883227372, 0.1830868720290191, 0.09313793252285028]","[-0.0013941717471050857, 0.005874314071261322, 0.0011956330510084628]",0,0.00615473956077011,0.00615473956077011,0.00615473956077011,0.0,False,True,False,0.6,,"[-0.0013941717471050857, 0.005874314071261324, 0.0011956330510084628]","[-0.0013941717471050857, 0.005874314071261324, 0.0011956330510084628]",0.00615473956077011,0.00615473956077011,0.00615473956077011,0.0,0.0
7,6078.143934077,0.0003667880000648438,"[-0.0005272924631614887, 0.003827910690109575, 0.0008518858837721632, 0.0, 0.0, 0.0, 0.0]","[-0.0005272924631614887, 0.003827910690109575, 0.0008518858837721632]","[-0.0005272924631614887, 0.003827910690109575, 0.0008518858837721632]","[-0.02826260075646414, 0.18623966143041515, 0.09334418333966939]","[-0.0005272924631614904, 0.0038279106901095705, 0.0008518858837721632]",0,0.0039568481335694895,0.0039568481335694895,0.0039568481335694895,0.0,False,True,False,0.6,,"[-0.0005272924631614887, 0.003827910690109575, 0.0008518858837721632]","[-0.0005272924631614887, 0.003827910690109575, 0.0008518858837721632]",0.0039568481335694895,0.0039568481335694895,0.0039568481335694895,0.0,0.0022488682945657036
8,6088.955489305,0.0002785830001812428,"[-0.0005272924631614887, 0.003827910690109575, 0.0008518858837721632, 0.0, 0.0, 0.0, 0.0]","[-0.0005272924631614887, 0.003827910690109575, 0.0008518858837721632]","[-0.0005272924631614887, 0.003827910690109575, 0.0008518858837721632]","[-0.028718265725908333, 0.1895959912842653, 0.09355518119043249]","[-0.0005272924631614904, 0.0038279106901095705, 0.0008518858837721632]",0,0.0039568481335694895,0.0039568481335694895,0.0039568481335694895,0.0,False,True,False,0.6,,"[-0.0005272924631614887, 0.003827910690109575, 0.0008518858837721632]","[-0.0005272924631614887, 0.003827910690109575, 0.0008518858837721632]",0.0039568481335694895,0.0039568481335694895,0.0039568481335694895,0.0,0.0
9,6099.80253462,0.0003288669995527016,"[-0.0005272924631614887, 0.003486843459917617, -0.01166051100362914, 0.0, 0.0, 0.0, 0.0]","[-0.0005272924631614887, 0.003486843459917617, -0.01]","[-0.0005272924631614887, 0.003486843459917617, -0.01]","[-0.029174912880840384, 0.19261687292640917, 0.0828867224232235]","[-0.0005272924631614904, 0.0034868434599176212, -0.009999999999999995]",0,0.012182102918684995,0.01060358970611732,0.01060358970611732,0.0016605110036291403,False,True,False,0.6,,"[-0.0005272924631614887, 0.003486843459917617, -0.01166051100362914]","[-0.0005272924631614887, 0.003486843459917617, -0.01166051100362914]",0.012182102918684995,0.012182102918684995,0.012182102918684995,0.0,0.012517044488351099
