step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
0,4547.256278253,0.00023494099968957016,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547, 0.0, 0.0, 0.0, 0.0]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632171837234775, 0.15009189434153636, 0.09354787007914714]","[-0.005632248246384894, 0.002804708999533695, -0.0006606016520675495]",0,0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,False,True,True,0.6,0.01,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]",0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,0.0
1,4557.754013666,0.00034421599957568105,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547, 0.0, 0.0, 0.0, 0.0]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.01124771038684673, 0.15250620905874715, 0.09268884232347112]","[-0.005632248246384894, 0.002804708999533695, -0.0006606016520675495]",0,0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,False,True,True,0.6,0.01,"[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]","[-0.005632248246384894, 0.0028047089995336992, -0.0006606016520675547]",0.006326532021865172,0.006326532021865172,0.006326532021865172,0.0,0.0
2,4568.343804072,0.00023453099947801093,"[-0.012470962597495493, 0.005817469532895998, -0.0021043397544600138, 0.0, 0.0, 0.0, 0.0]","[-0.008252899298553957, 0.0046123653195510785, -0.0015268445135030303]","[-0.008252899298553957, 0.0046123653195510785, -0.0015268445135030303]","[-0.01945713094770892, 0.15671379493675083, 0.09094437377645742]","[-0.008252899298553959, 0.004612365319551087, -0.0015268445135030312]",0,0.013921066973350337,0.009576821750533118,0.009576821750533118,0.004424684724613404,False,True,True,0.6,0.01,"[-0.01, 0.005817469532895998, -0.0021043397544600138]","[-0.008252899298553957, 0.0046123653195510785, -0.0015268445135030303]",0.013921066973350337,0.011758877394053142,0.009576821750533118,0.002199576727314348,0.003299365090971521
3,4579.215879337,0.00040940899998531677,"[-0.012470962597495493, 0.005817469532895998, -0.0021043397544600138, 0.0, 0.0, 0.0, 0.0]","[-0.009301159719421583, 0.00533542784755803, -0.0018733416580772205]","[-0.009301159719421583, 0.00533542784755803, -0.0018733416580772205]","[-0.028663344546857462, 0.1614183642129829, 0.0889176249872768]","[-0.009301159719421581, 0.0053354278475580275, -0.0018733416580772183]",0,0.013921066973350337,0.010885208836332714,0.010885208836332714,0.0032145566712661307,False,True,True,0.6,0.01,"[-0.01, 0.005817469532895998, -0.0021043397544600138]","[-0.009301159719421583, 0.00533542784755803, -0.0018733416580772205]",0.013921066973350337,0.011758877394053142,0.010885208836332714,0.0008798306909257392,0.0013197460363886088
4,4590.404304679,0.0002935109996542451,"[-0.012470962597495493, 0.005646935917800019, -0.0008668499524093331, 0.0, 0.0, 0.0, 0.0]","[-0.009720463887768633, 0.005522332689703223, -0.001269446634676488]","[-0.009720463887768633, 0.005522332689703223, -0.001269446634676488]","[-0.03824811622635514, 0.16619536858205802, 0.08750259618940284]","[-0.009720463887768632, 0.00552233268970323, -0.0012694466346764854]",0,0.013717296461324423,0.011251447519651432,0.011251447519651432,0.00278259828312205,False,True,True,0.6,0.01,"[-0.01, 0.005646935917800019, -0.0008668499524093331]","[-0.009720463887768633, 0.005522332689703223, -0.001269446634676488]",0.013717296461324423,0.01151691426119566,0.011251447519651432,0.0005057177978537932,0.0007585766967806896
5,4601.621514015,0.0002067280001938343,"[-0.012470962597495493, 0.005703780456165345, 0.00023314098274682463, 0.0, 0.0, 0.0, 0.0]","[-0.009888185555107454, 0.005631201349580496, -0.0003678940642225005]","[-0.009888185555107454, 0.005631201349580496, -0.0003678940642225005]","[-0.047946089812361835, 0.17101461285784433, 0.08687026859296891]","[-0.009888185555107454, 0.005631201349580506, -0.00036789406422249593]",0,0.013715406458362852,0.011385165271274856,0.011385165271274856,0.0026527812018869515,False,True,True,0.6,0.01,"[-0.01, 0.005703780456165345, 0.00023314098274682463]","[-0.009888185555107454, 0.005631201349580496, -0.0003678940642225005]",0.013715406458362852,0.011514663095808316,0.011385165271274856,0.0006156405806025965,0.0009234608709038947
6,4612.732363046,0.00023446000068361172,"[-0.012470962597495493, 0.005703780456165345, 0.0014018813513502412, 0.0, 0.0, 0.0, 0.0]","[-0.009955274222042981, 0.005674748813531406, 0.0006939711851211446]","[-0.009955274222042981, 0.005674748813531406, 0.0006939711851211446]","[-0.057654312889489176, 0.17583281642574763, 0.08715295677313988]","[-0.009955274222042981, 0.005674748813531416, 0.0006939711851211422]",0,0.013784893576793723,0.011480063368227895,0.011480063368227895,0.0026135545990301078,False,True,True,0.6,0.01,"[-0.01, 0.005703780456165345, 0.0014018813513502412]","[-0.009955274222042981, 0.005674748813531406, 0.0006939711851211446]",0.013784893576793723,0.011597343782754625,0.011480063368227895,0.0007099155125353951,0.0010648732688030924
7,4623.475669623,0.00022603400066145696,"[-0.009388725143473815, 0.01019449898702613, -4.18567510422161e-05, 0.0, 0.0, 0.0, 0.0]","[-0.009615344774901481, 0.008269899525412563, 0.00025247442342312814]","[-0.009615344774901481, 0.008269899525412563, 0.00025247442342312814]","[-0.06695808736152914, 0.18321702591756348, 0.0868084143330489]","[-0.009615344774901474, 0.008269899525412572, 0.0002524744234231324]",0,0.01385921070637798,0.012685024108574921,0.012685024108574921,0.0019601199925651986,False,True,True,0.6,0.01,"[-0.009388725143473815, 0.01, -4.18567510422161e-05]","[-0.009615344774901481, 0.008269899525412563, 0.00025247442342312814]",0.01385921070637798,0.013716774832565606,0.012685024108574921,0.0017695295843184525,0.002654294376477681
8,4633.984847273,0.00022011300006852252,"[-0.006210167769013959, 0.012411435983273858, 0.001883127385481062, 0.0, 0.0, 0.0, 0.0]","[-0.007572238571368968, 0.009307959810165026, 0.0012308662006578885]","[-0.007572238571368968, 0.009307959810165026, 0.0012308662006578885]","[-0.07410035958822192, 0.19138588934334805, 0.08738786229457161]","[-0.007572238571368961, 0.009307959810165023, 0.0012308662006578902]",0,0.014005573734629856,0.01206200416238103,0.01206200416238103,0.0034514121574957097,False,True,True,0.6,0.01,"[-0.006210167769013959, 0.01, 0.001883127385481062]","[-0.007572238571368968, 0.009307959810165026, 0.0012308662006578885]",0.014005573734629856,0.0119210885605824,0.01206200416238103,0.00166120472796154,0.002491807091942311
9,4644.485281964,0.0002624729995659436,"[-0.0044764092011267635, 0.009682898141738191, 0.00243312285305914, 0.0, 0.0, 0.0, 0.0]","[-0.005714740949223645, 0.009532922809108925, 0.0019522201920986392]","[-0.005714740949223645, 0.009532922809108925, 0.0019522201920986392]","[-0.07936067100422996, 0.1997491707333233, 0.0884719520686516]","[-0.00571474094922364, 0.009532922809108918, 0.0019522201920986332]",0,0.010941519207920256,0.01128477049299632,0.01128477049299632,0.0013368715301257741,False,True,True,0.6,0.01,"[-0.0044764092011267635, 0.009682898141738191, 0.00243312285305914]","[-0.005714740949223645, 0.009532922809108925, 0.0019522201920986392]",0.010941519207920256,0.010941519207920256,0.01128477049299632,0.0013368715301257741,0.002005307295188661
