step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
0,6524.784238805,0.0003286499995738268,"[0.00043590674122028633, 0.0079775619907784, -0.0021043397544600138, 0.0, 0.0, 0.0, 0.0]","[0.00043590674122028633, 0.0079775619907784, -0.0021043397544600138]","[0.00043590674122028633, 0.0079775619907784, -0.0021043397544600138]","[0.0004359831503704057, 0.15526474733278106, 0.09210413197675467]","[0.00043590674122028633, 0.007977561990778398, -0.002104339754460019]",0,0.008261946248067361,0.008261946248067361,0.008261946248067361,0.0,False,True,True,0.6,0.01,"[0.00043590674122028633, 0.0079775619907784, -0.0021043397544600138]","[0.00043590674122028633, 0.0079775619907784, -0.0021043397544600138]",0.008261946248067361,0.008261946248067361,0.008261946248067361,0.0,0.0
1,6534.798361273,0.0003275379995102412,"[5.062705946757423e-05, 0.012468280521639185, 0.0015393802182447625, 0.0, 0.0, 0.0, 0.0]","[0.00020473893216865907, 0.00919102479631136, 8.189222916285186e-05]","[0.00020473893216865907, 0.00919102479631136, 8.189222916285186e-05]","[0.0006327053621964234, 0.1635627113617152, 0.09214238627439543]","[0.00020473893216865904, 0.00919102479631137, 8.189222916285543e-05]",0,0.012563051927050239,0.009193669625016611,0.009193669625016611,0.003590045514588844,False,True,True,0.6,0.01,"[5.062705946757423e-05, 0.01, 0.0015393802182447625]","[0.00020473893216865907, 0.00919102479631136, 8.189222916285186e-05]",0.012563051927050239,0.010117917500922492,0.009193669625016611,0.001674055730197936,0.0025110835952969032
2,6544.881289048,0.0002446169992253999,"[5.062705946757423e-05, 0.012468280521639185, 0.0015393802182447625, 0.0, 0.0, 0.0, 0.0]","[0.00011227180854800817, 0.009676409918524545, 0.0009563850226119981]","[0.00011227180854800817, 0.009676409918524545, 0.0009563850226119981]","[0.000741202727509876, 0.17222997399255058, 0.09274171354549827]","[0.00011227180854800822, 0.009676409918524531, 0.0009563850226119996]",0,0.012563051927050239,0.009724206198029297,0.009724206198029297,0.002852757427079242,False,True,True,0.6,0.01,"[5.062705946757423e-05, 0.01, 0.0015393802182447625]","[0.00011227180854800817, 0.009676409918524545, 0.0009563850226119981]",0.012563051927050239,0.010117917500922492,0.009724206198029297,0.0006696222920791739,0.0010044334381187619
3,6554.938896684,0.0004517759998634574,"[5.062705946757423e-05, 0.012468280521639185, 0.0015393802182447625, 0.0, 0.0, 0.0, 0.0]","[7.52849590997478e-05, 0.009870563967409818, 0.0013061821399916566]","[7.52849590997478e-05, 0.009870563967409818, 0.0013061821399916566]","[0.000812113000277885, 0.1810441645880423, 0.09352876187320548]","[7.528495909974776e-05, 0.009870563967409818, 0.00130618213999166]",0,0.012563051927050239,0.009956897741898773,0.009956897741898773,0.002608279251121802,False,True,True,0.6,0.01,"[5.062705946757423e-05, 0.01, 0.0015393802182447625]","[7.52849590997478e-05, 0.009870563967409818, 0.0013061821399916566]",0.012563051927050239,0.010117917500922492,0.009956897741898773,0.00026784891683166983,0.0004017733752475041
4,6565.089375576,0.00023210400013340404,"[5.062705946757423e-05, 0.012468280521639185, 0.002295623986164619, 0.0, 0.0, 0.0, 0.0]","[6.0490219320443654e-05, 0.009948225586963927, 0.0018998472476954341]","[6.0490219320443654e-05, 0.009948225586963927, 0.0018998472476954341]","[0.0008679861399411393, 0.1899195375842521, 0.09479908477752823]","[6.04902193204436e-05, 0.009948225586963927, 0.0018998472476954298]",0,0.012677952190763765,0.010128191889983776,0.010128191889983776,0.0025509632263944356,False,True,True,0.6,0.01,"[5.062705946757423e-05, 0.01, 0.002295623986164619]","[6.0490219320443654e-05, 0.009948225586963927, 0.0018998472476954341]",0.012677952190763765,0.01026023647802548,0.010128191889983776,0.0003992707082679853,0.0005989060624019782
5,6575.357975571,0.0003346520006743958,"[5.062705946757423e-05, 0.013093570443657776, 0.0009893847506666845, 0.0, 0.0, 0.0, 0.0]","[5.4572323408721995e-05, 0.009979290234785571, 0.0013535697494781844]","[5.4572323408721995e-05, 0.009979290234785571, 0.0013535697494781844]","[0.0009018945355160279, 0.19882517485362242, 0.09537526890154911]","[5.457232340872202e-05, 0.009979290234785582, 0.0013535697494781868]",0,0.013130995097365265,0.010070817384665027,0.010070817384665027,0.0031355043450520047,False,True,True,0.6,0.01,"[5.062705946757423e-05, 0.01, 0.0009893847506666845]","[5.4572323408721995e-05, 0.009979290234785571, 0.0013535697494781844]",0.013130995097365265,0.01004895244709627,0.010070817384665027,0.0003647946995806467,0.00054719204937097
6,6585.813601856,0.0003467839997028932,"[-4.569286097060206e-05, 0.005646935917800019, 0.0009893847506666845, 0.0, 0.0, 0.0, 0.0]","[-5.586787218872436e-06, 0.007379877644594241, 0.0011350587501912845]","[-5.586787218872436e-06, 0.007379877644594241, 0.0011350587501912845]","[0.0008817074708896557, 0.2, 0.09571101035326897]","[-5.58678721887247e-06, 0.002246876952848781, 0.0011350587501912784]",0,0.00573313660068687,0.007466658129830176,0.007466658129830176,0.0017395161510471275,False,True,True,0.6,0.01,"[-4.569286097060206e-05, 0.005646935917800019, 0.0009893847506666845]","[-5.586787218872436e-06, 0.007379877644594241, 0.0011350587501912845]",0.00573313660068687,0.00573313660068687,0.007466658129830176,0.0017395161510471275,0.0026092742265706884
7,6596.245673505,0.00039424100032192655,"[-4.569286097060206e-05, 0.005646935917800019, 0.0009893847506666845, 0.0, 0.0, 0.0, 0.0]","[-2.965043146991021e-05, 0.006340112608517708, 0.0010476543504765244]","[-2.965043146991021e-05, 0.006340112608517708, 0.0010476543504765244]","[0.0008661716419180347, 0.2, 0.09599189321440635]","[-2.9650431469910245e-05, 0.000304659107820876, 0.001047654350476518]",0,0.00573313660068687,0.0064261564464961445,0.0064261564464961445,0.0006958064604188511,False,True,True,0.6,0.01,"[-4.569286097060206e-05, 0.005646935917800019, 0.0009893847506666845]","[-2.965043146991021e-05, 0.006340112608517708, 0.0010476543504765244]",0.00573313660068687,0.00573313660068687,0.0064261564464961445,0.0006958064604188511,0.0010437096906282762
8,6606.724437915,0.0004451450004125945,"[-4.569286097060206e-05, 0.005646935917800019, 0.0009893847506666845, 0.0, 0.0, 0.0, 0.0]","[-3.927588917032532e-05, 0.005924206594087095, 0.0010126925905906204]","[-3.927588917032532e-05, 0.005924206594087095, 0.0010126925905906204]","[0.000826341359033418, 0.2, 0.09623268519824318]","[-3.927588917032533e-05, 0.00013056711204720295, 0.0010126925905906137]",0,0.00573313660068687,0.006010267269259519,0.006010267269259519,0.0002783225841675411,False,True,True,0.6,0.01,"[-4.569286097060206e-05, 0.005646935917800019, 0.0009893847506666845]","[-3.927588917032532e-05, 0.005924206594087095, 0.0010126925905906204]",0.00573313660068687,0.00573313660068687,0.006010267269259519,0.0002783225841675411,0.00041748387625130997
9,6617.147642582,0.00030878500001563225,"[-4.569286097060206e-05, 0.005646935917800019, 0.0009893847506666845, 0.0, 0.0, 0.0, 0.0]","[-4.312607225049136e-05, 0.00575784418831485, 0.000998707886636259]","[-4.312607225049136e-05, 0.00575784418831485, 0.000998707886636259]","[0.000782750826040895, 0.2, 0.0964612095813697]","[-4.312607225049139e-05, 0.00011482855627267807, 0.0009987078866362659]",0,0.00573313660068687,0.0058439752735486745,0.0058439752735486745,0.00011132903366701681,False,True,True,0.6,0.01,"[-4.569286097060206e-05, 0.005646935917800019, 0.0009893847506666845]","[-4.312607225049136e-05, 0.00575784418831485, 0.000998707886636259]",0.00573313660068687,0.00573313660068687,0.0058439752735486745,0.00011132903366701681,0.00016699355050052433
