step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
0,193.553652694,0.00027793800001063573,"[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629, 0.0, 0.0, 0.0, 0.0]","[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]","[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]","[0.005654704156819479, 0.15008597005460608, 0.09354602605832653]","[0.00565462774766936, 0.0027987847126034193, -0.0006624456728881595]",0,0.0063440401245376055,0.0063440401245376055,0.0063440401245376055,0.0,False,True,False,0.6,,"[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]","[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]",0.0063440401245376055,0.0063440401245376055,0.0063440401245376055,0.0,0.0
1,204.166769366,0.00021362799998314586,"[0.00762992594623023, 0.006329160830718181, -0.0020595143008703253, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.006329160830718181, -0.0020595143008703253]","[0.00762992594623023, 0.006329160830718181, -0.0020595143008703253]","[0.013255692883724086, 0.15602734501421253, 0.09128826475314918]","[0.007629925946230229, 0.006329160830718189, -0.002059514300870327]",0,0.01012500103316261,0.01012500103316261,0.01012500103316261,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.006329160830718181, -0.0020595143008703253]","[0.00762992594623023, 0.006329160830718181, -0.0020595143008703253]",0.01012500103316261,0.01012500103316261,0.01012500103316261,0.0,0.004279855051270408
2,214.663425443,0.0003241750000029242,"[0.00762992594623023, 0.00595472700000904, -0.0020595143008703253, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.00595472700000904, -0.0020595143008703253]","[0.00762992594623023, 0.00595472700000904, -0.0020595143008703253]","[0.020809775127628913, 0.1612185526540237, 0.08915700421716549]","[0.007629925946230229, 0.005954727000009041, -0.002059514300870327]",0,0.00989525859920211,0.00989525859920211,0.00989525859920211,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.00595472700000904, -0.0020595143008703253]","[0.00762992594623023, 0.00595472700000904, -0.0020595143008703253]",0.00989525859920211,0.00989525859920211,0.00989525859920211,0.0,0.00037443383070914164
3,225.166845485,0.00030192399998441033,"[0.00762992594623023, 0.006917556850403976, -0.0020595143008703253, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.006917556850403976, -0.0020595143008703253]","[0.00762992594623023, 0.006917556850403976, -0.0020595143008703253]","[0.02833909784018808, 0.16737526900931157, 0.08697820614613044]","[0.007629925946230229, 0.006917556850403989, -0.002059514300870327]",0,0.010502854939444684,0.010502854939444684,0.010502854939444684,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.006917556850403976, -0.0020595143008703253]","[0.00762992594623023, 0.006917556850403976, -0.0020595143008703253]",0.010502854939444684,0.010502854939444684,0.010502854939444684,0.0,0.000962829850394936
4,235.697878647,0.00023953599998094433,"[0.00762992594623023, 0.008789726003949682, -0.003945556948646246, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.008789726003949682, -0.003945556948646246]","[0.00762992594623023, 0.008789726003949682, -0.003945556948646246]","[0.03581771304524351, 0.17528414768140926, 0.08286478561935105]","[0.007629925946230232, 0.008789726003949672, -0.003945556948646248]",0,0.01228993379984112,0.01228993379984112,0.01228993379984112,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.008789726003949682, -0.003945556948646246]","[0.00762992594623023, 0.008789726003949682, -0.003945556948646246]",0.01228993379984112,0.01228993379984112,0.01228993379984112,0.0,0.002657475156745149
5,246.339759245,0.0002235259999849859,"[0.00762992594623023, 0.010982838440960367, -0.003177169203256055, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.010982838440960367, -0.003177169203256055]","[0.00762992594623023, 0.010982838440960367, -0.003177169203256055]","[0.0432220104283583, 0.18517172697980722, 0.07966780415275233]","[0.007629925946230229, 0.010982838440960374, -0.0031771692032560583]",0,0.013745286985411135,0.013745286985411135,0.013745286985411135,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.010982838440960367, -0.003177169203256055]","[0.00762992594623023, 0.010982838440960367, -0.003177169203256055]",0.013745286985411135,0.013745286985411135,0.013745286985411135,0.0,0.0023238248403519503
6,257.011101587,0.00022370800002136093,"[0.0058870157710294605, 0.012159630480331954, -0.004015410380045353, 0.0, 0.0, 0.0, 0.0]","[0.0058870157710294605, 0.012159630480331954, -0.004015410380045353]","[0.0058870157710294605, 0.012159630480331954, -0.004015410380045353]","[0.04878745370093627, 0.19597993617238804, 0.07543218343677194]","[0.005887015771029458, 0.012159630480331945, -0.004015410380045353]",0,0.014093867057225404,0.014093867057225404,0.014093867057225404,0.0,False,True,False,0.6,,"[0.0058870157710294605, 0.012159630480331954, -0.004015410380045353]","[0.0058870157710294605, 0.012159630480331954, -0.004015410380045353]",0.014093867057225404,0.014093867057225404,0.014093867057225404,0.0,0.002263895680726438
7,267.665644609,0.0002686909999738418,"[0.0058870157710294605, 0.012159630480331954, 0.003039786191264571, 0.0, 0.0, 0.0, 0.0]","[0.0058870157710294605, 0.012159630480331954, 0.003039786191264571]","[0.0058870157710294605, 0.012159630480331954, 0.003039786191264571]","[0.054311232780989385, 0.2, 0.07822644110876885]","[0.005887015771029458, 0.005476884395903825, 0.0030397861912645763]",0,0.0138475220958542,0.0138475220958542,0.0138475220958542,0.0,False,True,False,0.6,,"[0.0058870157710294605, 0.012159630480331954, 0.003039786191264571]","[0.0058870157710294605, 0.012159630480331954, 0.003039786191264571]",0.0138475220958542,0.0138475220958542,0.0138475220958542,0.0,0.007055196571309924
8,278.302567866,0.00038534899999831396,"[0.004666978648388924, 0.012159630480331954, 0.002969932759865462, 0.0, 0.0, 0.0, 0.0]","[0.004666978648388924, 0.012159630480331954, 0.002969932759865462]","[0.004666978648388924, 0.012159630480331954, 0.002969932759865462]","[0.05876467547478386, 0.2, 0.08016564712773316]","[0.004666978648388921, 0.000781723874423601, 0.002969932759865457]",0,0.013358809966492453,0.013358809966492453,0.013358809966492453,0.0,False,True,False,0.6,,"[0.004666978648388924, 0.012159630480331954, 0.002969932759865462]","[0.004666978648388924, 0.012159630480331954, 0.002969932759865462]",0.013358809966492453,0.013358809966492453,0.013358809966492453,0.0,0.0012220352214642712
9,288.793004969,0.00029879800001708645,"[0.004666978648388924, 0.012159630480331954, 0.002969932759865462, 0.0, 0.0, 0.0, 0.0]","[0.004666978648388924, 0.012159630480331954, 0.002969932759865462]","[0.004666978648388924, 0.012159630480331954, 0.002969932759865462]","[0.06333145854938341, 0.2, 0.08212028775557147]","[0.004666978648388921, 0.00033646513349136487, 0.002969932759865457]",0,0.013358809966492453,0.013358809966492453,0.013358809966492453,0.0,False,True,False,0.6,,"[0.004666978648388924, 0.012159630480331954, 0.002969932759865462]","[0.004666978648388924, 0.012159630480331954, 0.002969932759865462]",0.013358809966492453,0.013358809966492453,0.013358809966492453,0.0,0.0
