step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
0,905.740801746,0.0002428950000421537,"[-0.00561619138529561, 0.00279878471260342, -0.0006624456728881629, 0.0, 0.0, 0.0, 0.0]","[-0.00561619138529561, 0.00279878471260342, -0.0006624456728881629]","[-0.00561619138529561, 0.00279878471260342, -0.0006624456728881629]","[-0.005616114976145491, 0.15008597005460608, 0.09354602605832653]","[-0.00561619138529561, 0.0027987847126034193, -0.0006624456728881595]",0,0.006309804736542921,0.006309804736542921,0.006309804736542921,0.0,False,True,True,0.6,0.01,"[-0.00561619138529561, 0.00279878471260342, -0.0006624456728881629]","[-0.00561619138529561, 0.00279878471260342, -0.0006624456728881629]",0.006309804736542921,0.006309804736542921,0.006309804736542921,0.0,0.0
1,916.3580621,0.00030093400005171134,"[-0.00561619138529561, 0.00279878471260342, -0.0006624456728881629, 0.0, 0.0, 0.0, 0.0]","[-0.00561619138529561, 0.00279878471260342, -0.0006624456728881629]","[-0.00561619138529561, 0.00279878471260342, -0.0006624456728881629]","[-0.011215733010354759, 0.1524967312311149, 0.09268465654447529]","[-0.00561619138529561, 0.0027987847126034193, -0.0006624456728881595]",0,0.006309804736542921,0.006309804736542921,0.006309804736542921,0.0,False,True,True,0.6,0.01,"[-0.00561619138529561, 0.00279878471260342, -0.0006624456728881629]","[-0.00561619138529561, 0.00279878471260342, -0.0006624456728881629]",0.006309804736542921,0.006309804736542921,0.006309804736542921,0.0,0.0
2,927.007304443,0.00023192500009372452,"[-0.007126713537136276, 0.005633783716544061, 0.00038535579809845927, 0.0, 0.0, 0.0, 0.0]","[-0.00652250467640001, 0.004499784114967804, -3.3764790296189666e-05]","[-0.00652250467640001, 0.004499784114967804, -3.3764790296189666e-05]","[-0.017706449851745538, 0.1565915958794178, 0.09243350630424149]","[-0.006522504676400011, 0.004499784114967792, -3.376479029619517e-05]",0,0.00909274787379077,0.007924157014852768,0.007924157014852768,0.0013515493003895948,False,True,True,0.6,0.01,"[-0.007126713537136276, 0.005633783716544061, 0.00038535579809845927]","[-0.00652250467640001, 0.004499784114967804, -3.3764790296189666e-05]",0.00909274787379077,0.00909274787379077,0.007924157014852768,0.0013515493003895948,0.0020273239505843913
3,937.694597758,0.00044386199999735254,"[-0.007126713537136276, 0.004617463318904964, 0.001223596974887756, 0.0, 0.0, 0.0, 0.0]","[-0.00688502999284177, 0.0045703916373301, 0.0007206522688141777]","[-0.00688502999284177, 0.0045703916373301, 0.0007206522688141777]","[-0.024511972142813802, 0.16056941574343114, 0.0928479674174672]","[-0.006885029992841768, 0.004570391637330112, 0.0007206522688141814]",0,0.008579522300151026,0.008295267169504229,0.008295267169504229,0.0005599821927137309,False,True,True,0.6,0.01,"[-0.007126713537136276, 0.004617463318904964, 0.001223596974887756]","[-0.00688502999284177, 0.0045703916373301, 0.0007206522688141777]",0.008579522300151026,0.008579522300151026,0.008295267169504229,0.0005599821927137309,0.0008399732890705964
4,948.40706927,0.000227597000048263,"[-0.007126713537136276, 0.0038685956574866813, 0.001223596974887756, 0.0, 0.0, 0.0, 0.0]","[-0.007030040119418474, 0.004149314049424049, 0.0010224190924583247]","[-0.007030040119418474, 0.004149314049424049, 0.0010224190924583247]","[-0.03144471372592601, 0.1640967350395598, 0.09345399759693108]","[-0.007030040119418473, 0.0041493140494240355, 0.0010224190924583293]",0,0.008200808969759065,0.008227005042055367,0.008227005042055367,0.0003586378474783895,False,True,True,0.6,0.01,"[-0.007126713537136276, 0.0038685956574866813, 0.001223596974887756]","[-0.007030040119418474, 0.004149314049424049, 0.0010224190924583247]",0.008200808969759065,0.008200808969759065,0.008227005042055367,0.0003586378474783895,0.0005379567712175834
5,959.109163359,0.00023004100000889594,"[-0.007126713537136276, 0.0025848225236267683, 0.001223596974887756, 0.0, 0.0, 0.0, 0.0]","[-0.007088044170049155, 0.0032106191339456806, 0.0011431258219159835]","[-0.007088044170049155, 0.0032106191339456806, 0.0011431258219159835]","[-0.038414552105434326, 0.16670267329547211, 0.09411388232922852]","[-0.007088044170049157, 0.0032106191339456858, 0.0011431258219159884]",0,0.007679097790496236,0.007864806547179469,0.007864806547179469,0.0006321331536141459,False,True,True,0.6,0.01,"[-0.007126713537136276, 0.0025848225236267683, 0.001223596974887756]","[-0.007088044170049155, 0.0032106191339456806, 0.0011431258219159835]",0.007679097790496236,0.007679097790496236,0.007864806547179469,0.0006321331536141459,0.0009481997304212193
6,969.772443936,0.00022705600008521287,"[-0.002885632110814406, 0.004510482224416638, 0.0010838901120895413, 0.0, 0.0, 0.0, 0.0]","[-0.004566596934508306, 0.003990536988228255, 0.0011075843960201182]","[-0.004566596934508306, 0.003990536988228255, 0.0011075843960201182]","[-0.04285675428199916, 0.1701635240937256, 0.09469866495451572]","[-0.004566596934508303, 0.003990536988228266, 0.0011075843960201143]",0,0.00546316212013035,0.006164814369548018,0.006164814369548018,0.0017597008854411136,False,True,True,0.6,0.01,"[-0.002885632110814406, 0.004510482224416638, 0.0010838901120895413]","[-0.004566596934508306, 0.003990536988228255, 0.0011075843960201182]",0.00546316212013035,0.00546316212013035,0.006164814369548018,0.0017597008854411136,0.00263955132816167
7,980.522912652,0.0002543670000250131,"[-0.002420856064094201, 0.004510482224416638, 0.0010838901120895413, 0.0, 0.0, 0.0, 0.0]","[-0.003279152412259843, 0.004302504129941284, 0.001093367825661772]","[-0.003279152412259843, 0.004302504129941284, 0.001093367825661772]","[-0.04599404001150067, 0.1739078371712353, 0.09523684545580362]","[-0.0032791524122598448, 0.0043025041299412925, 0.001093367825661773]",0,0.005232572192997016,0.005519042990698995,0.005519042990698995,0.0008831859012182165,False,True,True,0.6,0.01,"[-0.002420856064094201, 0.004510482224416638, 0.0010838901120895413]","[-0.003279152412259843, 0.004302504129941284, 0.001093367825661772]",0.005232572192997016,0.005232572192997016,0.005519042990698995,0.0008831859012182165,0.0013247788518273244
8,991.190253713,0.00028240000006007904,"[-0.00137510995897374, 0.0024778414291384415, 0.0005250626608966757, 0.0, 0.0, 0.0, 0.0]","[-0.0021367269402881813, 0.0032077065094595785, 0.0007523847268027142]","[-0.0021367269402881813, 0.0032077065094595785, 0.0007523847268027142]","[-0.047982599171470366, 0.17655829204077567, 0.09539958072055227]","[-0.002136726940288179, 0.0032077065094595902, 0.0007523847268027101]",0,0.0028820680673938798,0.0039269664940394695,0.0039269664940394695,0.0010790916473342248,False,True,True,0.6,0.01,"[-0.00137510995897374, 0.0024778414291384415, 0.0005250626608966757]","[-0.0021367269402881813, 0.0032077065094595785, 0.0007523847268027142]",0.0028820680673938798,0.0028820680673938798,0.0039269664940394695,0.0010790916473342248,0.001618637471001337
9,1001.836446226,0.00022530299997924885,"[-0.00137510995897374, 0.002905765807091746, 0.0005949160922957848, 0.0, 0.0, 0.0, 0.0]","[-0.0016797567514995166, 0.0030265420880388793, 0.0006579035460985566]","[-0.0016797567514995166, 0.0030265420880388793, 0.0006579035460985566]","[-0.04954004045537935, 0.17915566765964597, 0.09547547227161797]","[-0.0016797567514995199, 0.003026542088038875, 0.0006579035460985566]",0,0.003269300763436242,0.0035234041537762885,0.0035234041537762885,0.00033371244743374604,False,True,True,0.6,0.01,"[-0.00137510995897374, 0.002905765807091746, 0.0005949160922957848]","[-0.0016797567514995166, 0.0030265420880388793, 0.0006579035460985566]",0.003269300763436242,0.003269300763436242,0.0035234041537762885,0.00033371244743374604,0.0005005686711506188
