step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
0,1419.116551091,0.00022158599995236727,"[-0.0029437291166544317, 0.002905765807091746, -0.0003830319472917284, 0.0, 0.0, 0.0, 0.0]","[-0.0029437291166544317, 0.002905765807091746, -0.0003830319472917284]","[-0.0029437291166544317, 0.002905765807091746, -0.0003830319472917284]","[-0.0029436527075043122, 0.15019295114909442, 0.09382543978392296]","[-0.0029437291166544317, 0.002905765807091759, -0.0003830319472917232]",0,0.004154001626209205,0.004154001626209205,0.004154001626209205,0.0,False,True,True,0.6,0.01,"[-0.0029437291166544317, 0.002905765807091746, -0.0003830319472917284]","[-0.0029437291166544317, 0.002905765807091746, -0.0003830319472917284]",0.004154001626209205,0.004154001626209205,0.004154001626209205,0.0,0.0
1,1429.987781062,0.00026363400002082926,"[-0.002885632110814406, 0.007666424511822257, 0.00010594207250202645, 0.0, 0.0, 0.0, 0.0]","[-0.0029088709131504164, 0.005762161029930052, -8.96475354154755e-05]","[-0.0029088709131504164, 0.005762161029930052, -8.96475354154755e-05]","[-0.005843679263318977, 0.1555569966995265, 0.09350021904225499]","[-0.002908870913150417, 0.005762161029930046, -8.96475354154741e-05]",0,0.008192201242471914,0.006455390492047957,0.006455390492047957,0.0019144228229749972,False,True,True,0.6,0.01,"[-0.002885632110814406, 0.007666424511822257, 0.00010594207250202645]","[-0.0029088709131504164, 0.005762161029930052, -8.96475354154755e-05]",0.008192201242471914,0.008192201242471914,0.006455390492047957,0.0019144228229749972,0.0028716342344624946
2,1440.98977601,0.0002283779999743274,"[-0.0008522369064135095, 0.007933877248043073, 0.0014331572690850832, 0.0, 0.0, 0.0, 0.0]","[-0.0016748905091082723, 0.007065190760797865, 0.0008240353472848597]","[-0.0016748905091082723, 0.007065190760797865, 0.0008240353472848597]","[-0.007478726270678924, 0.16195184261176215, 0.09403696761218241]","[-0.001674890509108272, 0.007065190760797868, 0.0008240353472848544]",0,0.008107197770475333,0.007307613355777614,0.007307613355777614,0.001342536658258049,False,True,True,0.6,0.01,"[-0.0008522369064135095, 0.007933877248043073, 0.0014331572690850832]","[-0.0016748905091082723, 0.007065190760797865, 0.0008240353472848597]",0.008107197770475333,0.008107197770475333,0.007307613355777614,0.001342536658258049,0.0020138049873870733
3,1451.463460998,0.00022980099993219483,"[-0.0016655949881738677, 0.012159630480331954, 0.0014331572690850832, 0.0, 0.0, 0.0, 0.0]","[-0.0016693131965476295, 0.008826076304319147, 0.001189508500364994]","[-0.0016693131965476295, 0.008826076304319147, 0.001189508500364994]","[-0.009100820832741182, 0.16998226985294468, 0.09479872705073493]","[-0.0016693131965476293, 0.008826076304319141, 0.0011895085003649913]",0,0.012356567478097599,0.009060969040355043,0.009060969040355043,0.00334244850251799,False,True,True,0.6,0.01,"[-0.0016655949881738677, 0.01, 0.0014331572690850832]","[-0.0016693131965476295, 0.008826076304319147, 0.001189508500364994]",0.012356567478097599,0.01023856173603311,0.009060969040355043,0.0011989476180606555,0.001798421427090985
4,1462.213812005,0.00024682299999767565,"[-0.0007360428947334584, 0.005366330980323247, 0.0010838901120895413, 0.0, 0.0, 0.0, 0.0]","[-0.0011093510154591268, 0.0067502291099216065, 0.0011261374673997224]","[-0.0011093510154591268, 0.0067502291099216065, 0.0011261374673997224]","[-0.01015553476387641, 0.17576102401132038, 0.09539664666243239]","[-0.0011093510154591268, 0.006750229109921596, 0.0011261374673997154]",0,0.0055239555671954986,0.00693285210482776,0.00693285210482776,0.0014339866893162826,False,True,True,0.6,0.01,"[-0.0007360428947334584, 0.005366330980323247, 0.0010838901120895413]","[-0.0011093510154591268, 0.0067502291099216065, 0.0011261374673997224]",0.0055239555671954986,0.0055239555671954986,0.00693285210482776,0.0014339866893162826,0.002150980033974425
5,1472.977040315,0.0003336049999234092,"[-0.0007360428947334584, 0.005259349885834921, 0.0011537435434886504, 0.0, 0.0, 0.0, 0.0]","[-0.0008853661430237257, 0.005855701575469595, 0.0011427011130530791]","[-0.0008853661430237257, 0.005855701575469595, 0.0011427011130530791]","[-0.01099697999493884, 0.18086289313674472, 0.09598215838972561]","[-0.0008853661430237251, 0.005855701575469607, 0.0011427011130530768]",0,0.005434486592923121,0.0060314906931821215,0.0060314906931821215,0.0006148615335829783,False,True,True,0.6,0.01,"[-0.0007360428947334584, 0.005259349885834921, 0.0011537435434886504]","[-0.0008853661430237257, 0.005855701575469595, 0.0011427011130530791]",0.005434486592923121,0.005434486592923121,0.0060314906931821215,0.0006148615335829783,0.0009222923003744675
6,1483.901957358,0.0002274860000852641,"[-0.0006198488830534074, 0.005259349885834921, 0.0010140366806904322, 0.0, 0.0, 0.0, 0.0]","[-0.0007260557870415348, 0.005497890561688791, 0.001065502453635491]","[-0.0007260557870415348, 0.005497890561688791, 0.001065502453635491]","[-0.011682563345557777, 0.18569983390130018, 0.09644163573159531]","[-0.0007260557870415341, 0.005497890561688784, 0.0010655024536354862]",0,0.005391961076383993,0.005647057031136347,0.005647057031136347,0.0002661395992264149,False,True,True,0.6,0.01,"[-0.0006198488830534074, 0.005259349885834921, 0.0010140366806904322]","[-0.0007260557870415348, 0.005497890561688791, 0.001065502453635491]",0.005391961076383993,0.005391961076383993,0.005647057031136347,0.0002661395992264149,0.00039920939883962146
7,1494.778358884,0.00022210599991012714,"[-0.0006198488830534074, 0.005259349885834921, 0.0010140366806904322, 0.0, 0.0, 0.0, 0.0]","[-0.0006623316446486584, 0.005354766156176469, 0.0010346229898684557]","[-0.0006623316446486584, 0.005354766156176469, 0.0010346229898684557]","[-0.012305412719232954, 0.19043070639489695, 0.09683207488009217]","[-0.0006623316446486577, 0.0053547661561764714, 0.00103462298986845]",0,0.005391961076383993,0.0054938737267979,0.0054938737267979,0.0001064558396905658,False,True,True,0.6,0.01,"[-0.0006198488830534074, 0.005259349885834921, 0.0010140366806904322]","[-0.0006623316446486584, 0.005354766156176469, 0.0010346229898684557]",0.005391961076383993,0.005391961076383993,0.0054938737267979,0.0001064558396905658,0.0001596837595358491
8,1505.428196554,0.0003325440000025992,"[-0.00038746085969330445, 0.005045387696858268, -0.006180866753417707, 0.0, 0.0, 0.0, 0.0]","[-0.0004974091736754461, 0.005169139080585548, -0.0032946708561032417]","[-0.0004974091736754461, 0.005169139080585548, -0.0032946708561032417]","[-0.01276343311890355, 0.19499356893432662, 0.09285297326584499]","[-0.0004974091736754463, 0.005169139080585555, -0.0032946708561032434]",0,0.00798806464376118,0.00614998136343106,0.00614998136343106,0.0028909392581645127,False,True,True,0.6,0.01,"[-0.00038746085969330445, 0.005045387696858268, -0.006180866753417707]","[-0.0004974091736754461, 0.005169139080585548, -0.0032946708561032417]",0.00798806464376118,0.00798806464376118,0.00614998136343106,0.0028909392581645127,0.004336408887246768
9,1516.12194762,0.0002565810000305646,"[-0.00038746085969330445, 0.005045387696858268, -0.006180866753417707, 0.0, 0.0, 0.0, 0.0]","[-0.0004314401852861611, 0.00509488825034918, -0.005026388394491921]","[-0.0004314401852861611, 0.00509488825034918, -0.005026388394491921]","[-0.013155730650506394, 0.19949344937609903, 0.08754949044702079]","[-0.00043144018528616136, 0.005094888250349178, -0.005026388394491918]",0,0.00798806464376118,0.007169979582210047,0.007169979582210047,0.0011563757032658053,False,True,True,0.6,0.01,"[-0.00038746085969330445, 0.005045387696858268, -0.006180866753417707]","[-0.0004314401852861611, 0.00509488825034918, -0.005026388394491921]",0.00798806464376118,0.00798806464376118,0.007169979582210047,0.0011563757032658053,0.0017345635548987074
