step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
0,2622.04311963,0.00032135099991137395,"[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629, 0.0, 0.0, 0.0, 0.0]","[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]","[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]","[0.005654704156819479, 0.15008597005460608, 0.09354602605832653]","[0.00565462774766936, 0.0027987847126034193, -0.0006624456728881595]",0,0.0063440401245376055,0.0063440401245376055,0.0063440401245376055,0.0,False,True,False,0.6,,"[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]","[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]",0.0063440401245376055,0.0063440401245376055,0.0063440401245376055,0.0,0.0
1,2632.860412491,0.000263673000063136,"[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629, 0.0, 0.0, 0.0, 0.0]","[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]","[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]","[0.011280394685163217, 0.15249696889609776, 0.09268533338113134]","[0.005654627747669359, 0.0027987847126034193, -0.0006624456728881595]",0,0.0063440401245376055,0.0063440401245376055,0.0063440401245376055,0.0,False,True,False,0.6,,"[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]","[0.00565462774766936, 0.00279878471260342, -0.0006624456728881629]",0.0063440401245376055,0.0063440401245376055,0.0063440401245376055,0.0,0.0
2,2643.781664216,0.00036030399996889173,"[0.00762992594623023, 0.005687274263788226, -0.0010815662612828122, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.005687274263788226, -0.0010815662612828122]","[0.00762992594623023, 0.005687274263788226, -0.0010815662612828122]","[0.018878452511855836, 0.1577789894775618, 0.09138635939371238]","[0.007629925946230229, 0.005687274263788233, -0.001081566261282807]",0,0.009577611605930283,0.009577611605930283,0.009577611605930283,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.005687274263788226, -0.0010815662612828122]","[0.00762992594623023, 0.005687274263788226, -0.0010815662612828122]",0.009577611605930283,0.009577611605930283,0.009577611605930283,0.0,0.0035243207754343093
3,2654.500579616,0.00032089000023916014,"[0.00762992594623023, 0.006382651377962344, -0.0020595143008703253, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.006382651377962344, -0.0020595143008703253]","[0.00762992594623023, 0.006382651377962344, -0.0020595143008703253]","[0.026419323101087248, 0.16343799152378827, 0.08912703032673604]","[0.007629925946230229, 0.006382651377962345, -0.002059514300870327]",0,0.010158523894397812,0.010158523894397812,0.010158523894397812,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.006382651377962344, -0.0020595143008703253]","[0.00762992594623023, 0.006382651377962344, -0.0020595143008703253]",0.010158523894397812,0.010158523894397812,0.010158523894397812,0.0,0.0011999715409334445
4,2665.164848164,0.00024296499987030984,"[0.00762992594623023, 0.006382651377962344, -0.0020595143008703253, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.006382651377962344, -0.0020595143008703253]","[0.00762992594623023, 0.006382651377962344, -0.0020595143008703253]","[0.03391483632420924, 0.16900309874330763, 0.08693101675189413]","[0.007629925946230232, 0.006382651377962345, -0.002059514300870327]",0,0.010158523894397812,0.010158523894397812,0.010158523894397812,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.006382651377962344, -0.0020595143008703253]","[0.00762992594623023, 0.006382651377962344, -0.0020595143008703253]",0.010158523894397812,0.010158523894397812,0.010158523894397812,0.0,0.0
5,2675.909670875,0.00022444000023824628,"[0.00762992594623023, 0.006382651377962344, -0.0001036182216952973, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.006382651377962344, -0.0001036182216952973]","[0.00762992594623023, 0.006382651377962344, -0.0001036182216952973]","[0.04137257552084684, 0.17453821952351564, 0.0866343776854687]","[0.007629925946230229, 0.006382651377962345, -0.00010361822169530077]",0,0.00994810259765294,0.00994810259765294,0.00994810259765294,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.006382651377962344, -0.0001036182216952973]","[0.00762992594623023, 0.006382651377962344, -0.0001036182216952973]",0.00994810259765294,0.00994810259765294,0.00994810259765294,0.0,0.001955896079175028
6,2686.738649482,0.00027546600040295743,"[0.00762992594623023, 0.012159630480331954, -0.0033867294974533804, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.012159630480331954, -0.0033867294974533804]","[0.00762992594623023, 0.012159630480331954, -0.0033867294974533804]","[0.04879568716868538, 0.18583374222511492, 0.08278698167251158]","[0.007629925946230229, 0.012159630480331945, -0.003386729497453375]",0,0.014749315918106033,0.014749315918106033,0.014749315918106033,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.012159630480331954, -0.0033867294974533804]","[0.00762992594623023, 0.012159630480331954, -0.0033867294974533804]",0.014749315918106033,0.014749315918106033,0.014749315918106033,0.0,0.006644720249809247
7,2697.557529698,0.00031968799976311857,"[0.00762992594623023, 0.011303781724425345, -0.0019896608694712162, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.011303781724425345, -0.0019896608694712162]","[0.00762992594623023, 0.011303781724425345, -0.0019896608694712162]","[0.056034568697685985, 0.19566166652339406, 0.08060268425984939]","[0.007629925946230229, 0.011303781724425338, -0.0019896608694712214]",0,0.013782234999952462,0.013782234999952462,0.013782234999952462,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.011303781724425345, -0.0019896608694712162]","[0.00762992594623023, 0.011303781724425345, -0.0019896608694712162]",0.013782234999952462,0.013782234999952462,0.013782234999952462,0.0,0.0016383765880525934
8,2708.429448215,0.0003428420000091137,"[0.005538433735989307, 0.012159630480331954, 0.0013633038376859741, 0.0, 0.0, 0.0, 0.0]","[0.005538433735989307, 0.012159630480331954, 0.0013633038376859741]","[0.005538433735989307, 0.012159630480331954, 0.0013633038376859741]","[0.06117343968635441, 0.2, 0.08147456526162014]","[0.0055384337359893065, 0.005729627019910699, 0.0013633038376859724]",0,0.013430914303204072,0.013430914303204072,0.013430914303204072,0.0,False,True,False,0.6,,"[0.005538433735989307, 0.012159630480331954, 0.0013633038376859741]","[0.005538433735989307, 0.012159630480331954, 0.0013633038376859741]",0.013430914303204072,0.013430914303204072,0.013430914303204072,0.0,0.004043413049136466
9,2719.226279805,0.00031388699972012546,"[0.00762992594623023, 0.012159630480331954, 0.003039786191264571, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.012159630480331954, 0.003039786191264571]","[0.00762992594623023, 0.012159630480331954, 0.003039786191264571]","[0.06855101779256201, 0.2, 0.08362362440109547]","[0.007629925946230236, 0.0007881118478103577, 0.0030397861912645763]",0,0.014673536841940253,0.014673536841940253,0.014673536841940253,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.012159630480331954, 0.003039786191264571]","[0.00762992594623023, 0.012159630480331954, 0.003039786191264571]",0.014673536841940253,0.014673536841940253,0.014673536841940253,0.0,0.002680472485842541
10,2729.947941589,0.00022586299974136637,"[0.00762992594623023, 0.012159630480331954, 0.003039786191264571, 0.0, 0.0, 0.0, 0.0]","[0.00762992594623023, 0.012159630480331954, 0.003039786191264571]","[0.00762992594623023, 0.012159630480331954, 0.003039786191264571]","[0.07603636413317713, 0.2, 0.08560011246400893]","[0.007629925946230229, 0.0004150903330333855, 0.0030397861912645763]",0,0.014673536841940253,0.014673536841940253,0.014673536841940253,0.0,False,True,False,0.6,,"[0.00762992594623023, 0.012159630480331954, 0.003039786191264571]","[0.00762992594623023, 0.012159630480331954, 0.003039786191264571]",0.014673536841940253,0.014673536841940253,0.014673536841940253,0.0,0.0
11,2740.735654522,0.000259235000157787,"[0.002285001408947873, 0.005740764811032389, -0.0010815662612828122, 0.0, 0.0, 0.0, 0.0]","[0.002285001408947873, 0.005740764811032389, -0.0010815662612828122]","[0.002285001408947873, 0.005740764811032389, -0.0010815662612828122]","[0.07817060342197121, 0.2, 0.08343189526484626]","[0.0022850014089478704, 0.0003904351016061347, -0.001081566261282807]",0,0.006272750404091237,0.006272750404091237,0.006272750404091237,0.0,False,True,False,0.6,,"[0.002285001408947873, 0.005740764811032389, -0.0010815662612828122]","[0.002285001408947873, 0.005740764811032389, -0.0010815662612828122]",0.006272750404091237,0.006272750404091237,0.006272750404091237,0.0,0.00931426866843951
12,2751.467652217,0.0002376649999860092,"[0.002285001408947873, 0.006329160830718181, 0.0022015450144752726, 0.0, 0.0, 0.0, 0.0]","[0.002285001408947873, 0.006329160830718181, 0.0022015450144752726]","[0.002285001408947873, 0.006329160830718181, 0.0022015450144752726]","[0.08035003323606019, 0.2, 0.08492369080514613]","[0.0022850014089478704, 0.00023894769979790342, 0.0022015450144752674]",0,0.0070799935530162705,0.0070799935530162705,0.0070799935530162705,0.0,False,True,False,0.6,,"[0.002285001408947873, 0.006329160830718181, 0.0022015450144752726]","[0.002285001408947873, 0.006329160830718181, 0.0022015450144752726]",0.0070799935530162705,0.0070799935530162705,0.0070799935530162705,0.0,0.003335420442012066
13,2762.167950983,0.000258362999829842,"[0.002285001408947873, 0.006329160830718181, 0.0022015450144752726, 0.0, 0.0, 0.0, 0.0]","[0.002285001408947873, 0.006329160830718181, 0.0022015450144752726]","[0.002285001408947873, 0.006329160830718181, 0.0022015450144752726]","[0.08254420642241171, 0.2, 0.08610005551553965]","[0.0022850014089478704, 0.00022453426442578528, 0.0022015450144752674]",0,0.0070799935530162705,0.0070799935530162705,0.0070799935530162705,0.0,False,True,False,0.6,,"[0.002285001408947873, 0.006329160830718181, 0.0022015450144752726]","[0.002285001408947873, 0.006329160830718181, 0.0022015450144752726]",0.0070799935530162705,0.0070799935530162705,0.0070799935530162705,0.0,0.0
14,2772.910719439,0.00023886799999672803,"[0.002285001408947873, 0.005740764811032389, -0.0010815662612828122, 0.0, 0.0, 0.0, 0.0]","[0.002285001408947873, 0.005740764811032389, -0.0010815662612828122]","[0.002285001408947873, 0.005740764811032389, -0.0010815662612828122]","[0.08473730753128086, 0.2, 0.08398038813181909]","[0.0022850014089478704, 0.0002211648850470871, -0.001081566261282807]",0,0.006272750404091237,0.006272750404091237,0.006272750404091237,0.0,False,True,False,0.6,,"[0.002285001408947873, 0.005740764811032389, -0.0010815662612828122]","[0.002285001408947873, 0.005740764811032389, -0.0010815662612828122]",0.006272750404091237,0.006272750404091237,0.006272750404091237,0.0,0.003335420442012066
15,2783.701859835,0.00024216300016632886,"[0.0018202253622276688, 0.0047779349606374534, -0.007577935381399868, 0.0, 0.0, 0.0, 0.0]","[0.0018202253622276688, 0.0047779349606374534, -0.007577935381399868]","[0.0018202253622276688, 0.0047779349606374534, -0.007577935381399868]","[0.0864413352098442, 0.2, 0.0756642554235965]","[0.0018202253622276732, 0.00022105875959185783, -0.007577935381399864]",0,0.009141498099439196,0.009141498099439196,0.009141498099439196,0.0,False,True,False,0.6,,"[0.0018202253622276688, 0.0047779349606374534, -0.007577935381399868]","[0.0018202253622276688, 0.0047779349606374534, -0.007577935381399868]",0.009141498099439196,0.009141498099439196,0.009141498099439196,0.0,0.006583758033162128
16,2794.416606573,0.0003328239999973448,"[0.0015297403330275404, 0.003173218543312562, 0.0007346229550940012, 0.0, 0.0, 0.0, 0.0]","[0.0015297403330275404, 0.003173218543312562, 0.0007346229550940012]","[0.0015297403330275404, 0.003173218543312562, 0.0007346229550940012]","[0.08786938544650842, 0.2, 0.07630431230758206]","[0.0015297403330275378, 0.00023432276412965747, 0.0007346229550939942]",0,0.0035984847222497625,0.0035984847222497625,0.0035984847222497625,0.0,False,True,False,0.6,,"[0.0015297403330275404, 0.003173218543312562, 0.0007346229550940012]","[0.0015297403330275404, 0.003173218543312562, 0.0007346229550940012]",0.0035984847222497625,0.0035984847222497625,0.0035984847222497625,0.0,0.008471016611353984
17,2805.157605552,0.00033061900012398837,"[0.0015297403330275404, 0.003173218543312562, 0.0005949160922957848, 0.0, 0.0, 0.0, 0.0]","[0.0015297403330275404, 0.003173218543312562, 0.0005949160922957848]","[0.0015297403330275404, 0.003173218543312562, 0.0005949160922957848]","[0.08928978853163748, 0.2, 0.0759700038070945]","[0.0015297403330275378, 0.0002479801132942161, 0.000594916092295783]",0,0.0035725826186368864,0.0035725826186368864,0.0035725826186368864,0.0,False,True,False,0.6,,"[0.0015297403330275404, 0.003173218543312562, 0.0005949160922957848]","[0.0015297403330275404, 0.003173218543312562, 0.0005949160922957848]",0.0035725826186368864,0.0035725826186368864,0.0035725826186368864,0.0,0.0001397068627982164
18,2815.844598602,0.0002604769997560652,"[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012, 0.0, 0.0, 0.0, 0.0]","[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]","[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]","[0.09069218184110675, 0.2, 0.07579460822206194]","[0.0015297403330275378, 0.00023860124382310555, 0.0007346229550939942]",0,0.0034113010045024915,0.0034113010045024915,0.0034113010045024915,0.0,False,True,False,0.6,,"[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]","[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]",0.0034113010045024915,0.0034113010045024915,0.0034113010045024915,0.0,0.00025553439264529645
19,2826.559572977,0.0002655870002854499,"[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012, 0.0, 0.0, 0.0, 0.0]","[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]","[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]","[0.09209445281365751, 0.2, 0.07559480480041772]","[0.0015297403330275378, 0.00024590788966488697, 0.0007346229550939942]",0,0.0034113010045024915,0.0034113010045024915,0.0034113010045024915,0.0,False,True,False,0.6,,"[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]","[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]",0.0034113010045024915,0.0034113010045024915,0.0034113010045024915,0.0,0.0
20,2837.299333524,0.000323866000144335,"[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012, 0.0, 0.0, 0.0, 0.0]","[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]","[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]","[0.09350690352801887, 0.2, 0.07539330993208901]","[0.0015297403330275378, 0.000247127011099163, 0.0007346229550939942]",0,0.0034113010045024915,0.0034113010045024915,0.0034113010045024915,0.0,False,True,False,0.6,,"[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]","[0.0015297403330275404, 0.002959256354335909, 0.0007346229550940012]",0.0034113010045024915,0.0034113010045024915,0.0034113010045024915,0.0,0.0
21,2848.11253925,0.00023266600010174443,"[0.0012392553038274119, 0.003066237448824235, -0.0147029853841089, 0.0, 0.0, 0.0, 0.0]","[0.0012392553038274119, 0.003066237448824235, -0.0147029853841089]","[0.0012392553038274119, 0.003066237448824235, -0.0147029853841089]","[0.09462929433446352, 0.2, 0.05974779362584978]","[0.0012392553038274162, 0.00024914496711259115, -0.0147029853841089]",0,0.015070346545649056,0.015070346545649056,0.015070346545649056,0.0,False,True,False,0.6,,"[0.0012392553038274119, 0.003066237448824235, -0.0147029853841089]","[0.0012392553038274119, 0.003066237448824235, -0.0147029853841089]",0.015070346545649056,0.015070346545649056,0.015070346545649056,0.0,0.01544071169802073
22,2858.852329422,0.0002700660002119548,"[0.00048399422790707837, 0.001408030484255181, -0.01246767557933744, 0.0, 0.0, 0.0, 0.0]","[0.00048399422790707837, 0.001408030484255181, -0.01246767557933744]","[0.00048399422790707837, 0.001408030484255181, -0.01246767557933744]","[0.09500487618241622, 0.2, 0.047947100076583635]","[0.0004839942279070836, 0.0002287098685477551, -0.012467675579337437]",0,0.012556262764407506,0.012556262764407506,0.012556262764407506,0.0,False,True,False,0.6,,"[0.00048399422790707837, 0.001408030484255181, -0.01246767557933744]","[0.00048399422790707837, 0.001408030484255181, -0.01246767557933744]",0.012556262764407506,0.012556262764407506,0.012556262764407506,0.0,0.002883865384072751
23,2869.846139336,0.0003573789999791188,"[0.00019350919870695163, 0.0008196344645693867, -0.013794890775920493, 0.0, 0.0, 0.0, 0.0]","[0.00019350919870695163, 0.0008196344645693867, -0.013794890775920493]","[0.00019350919870695163, 0.0008196344645693867, -0.013794890775920493]","[0.09506429126349888, 0.2, 0.034535405830937414]","[0.00019350919870694816, 0.0002822332960141505, -0.013794890775920492]",0,0.013820573721270418,0.013820573721270418,0.013820573721270418,0.0,False,True,False,0.6,,"[0.00019350919870695163, 0.0008196344645693867, -0.013794890775920493]","[0.00019350919870695163, 0.0008196344645693867, -0.013794890775920493]",0.013820573721270418,0.013820573721270418,0.013820573721270418,0.0,0.0014805713782903129
24,2880.903574185,0.00023250600042956648,"[-0.0002712668480132534, -0.0005711197637788526, -0.0031073157718569475, 0.0, 0.0, 0.0, 0.0]","[-0.0002712668480132534, -0.0005711197637788526, -0.0031073157718569475]","[-0.0002712668480132534, -0.0005711197637788526, -0.0031073157718569475]","[0.09464446595885138, 0.19911623422592584, 0.031983347914596554]","[-0.0002712668480132491, -0.0005711197637788545, -0.003107315771856946]",0,0.003170989560601043,0.003170989560601043,0.003170989560601043,0.0,False,True,False,0.6,,"[-0.0002712668480132534, -0.0005711197637788526, -0.0031073157718569475]","[-0.0002712668480132534, -0.0005711197637788526, -0.0031073157718569475]",0.003170989560601043,0.003170989560601043,0.003170989560601043,0.0,0.010787700105432913
