step_index,timestamp_perf_counter,execution_time_s,raw_action,applied_delta,executed_delta,target_position,actual_move,retries,raw_action_norm,applied_delta_norm,executed_action_norm,action_delta_norm,done,success,use_action_smoothing,smooth_alpha,max_action_abs,clipped_delta,smoothed_delta,raw_delta_norm,clipped_delta_norm,smoothed_delta_norm,smoothing_delta_norm,step_delta_norm
0,2196.133407565,0.0002959419998660451,"[0.00565462774766936, 0.0027452941653592572, -0.0001036182216952973, 0.0, 0.0, 0.0, 0.0]","[0.00565462774766936, 0.0027452941653592572, -0.0001036182216952973]","[0.00565462774766936, 0.0027452941653592572, -0.0001036182216952973]","[0.005654704156819479, 0.15003247950736193, 0.09410485350951939]","[0.00565462774766936, 0.0027452941653592633, -0.00010361822169530077]",0,0.006286667778317472,0.006286667778317472,0.006286667778317472,0.0,False,True,True,0.6,0.015,"[0.00565462774766936, 0.0027452941653592572, -0.0001036182216952973]","[0.00565462774766936, 0.0027452941653592572, -0.0001036182216952973]",0.006286667778317472,0.006286667778317472,0.006286667778317472,0.0,0.0
1,2206.351916797,0.0002443860003040754,"[0.00762992594623023, 0.005633783716544061, -0.0006624456728881629, 0.0, 0.0, 0.0, 0.0]","[0.006839806666805882, 0.0044783878960701394, -0.00043891469241101664]","[0.006839806666805882, 0.0044783878960701394, -0.00043891469241101664]","[0.012463712209201918, 0.1541272343425901, 0.09340571160301196]","[0.006839806666805882, 0.004478387896070135, -0.000438914692411016]",0,0.00950758240454862,0.008187280347842253,0.008187280347842253,0.0014174604322236765,False,True,True,0.6,0.015,"[0.00762992594623023, 0.005633783716544061, -0.0006624456728881629]","[0.006839806666805882, 0.0044783878960701394, -0.00043891469241101664]",0.00950758240454862,0.00950758240454862,0.008187280347842253,0.0014174604322236765,0.002126190648335514
2,2216.639467209,0.00027802900012829923,"[0.00762992594623023, 0.005633783716544061, 0.0010140366806904322, 0.0, 0.0, 0.0, 0.0]","[0.00731387823446049, 0.005171625388354492, 0.0004328561314498527]","[0.00731387823446049, 0.005171625388354492, 0.0004328561314498527]","[0.019728873799800678, 0.1587249419748653, 0.0935923594104062]","[0.007313878234460489, 0.0051716253883545005, 0.00043285613144984636]",0,0.009538530248394662,0.008968048194368793,0.008968048194368793,0.0008069989512046763,False,True,True,0.6,0.015,"[0.00762992594623023, 0.005633783716544061, 0.0010140366806904322]","[0.00731387823446049, 0.005171625388354492, 0.0004328561314498527]",0.009538530248394662,0.009538530248394662,0.008968048194368793,0.0008069989512046763,0.0012104984268070135
3,2226.977295803,0.00025911300008374383,"[0.00762992594623023, 0.005580293169299899, -3.3764790296189964e-05, 0.0, 0.0, 0.0, 0.0]","[0.0075035068615223344, 0.005416826056921736, 0.0001528835784022271]","[0.0075035068615223344, 0.005416826056921736, 0.0001528835784022271]","[0.0271469550377981, 0.1634734816803615, 0.09337450691903298]","[0.007503506861522333, 0.005416826056921731, 0.00015288357840222144]",0,0.009452861041047632,0.009255700575342965,0.009255700575342965,0.0002784616586631221,False,True,True,0.6,0.015,"[0.00762992594623023, 0.005580293169299899, -3.3764790296189964e-05]","[0.0075035068615223344, 0.005416826056921736, 0.0001528835784022271]",0.009452861041047632,0.009452861041047632,0.009255700575342965,0.0002784616586631221,0.0004176924879946837
4,2237.749510938,0.00042350099965915433,"[0.00762992594623023, 0.005633783716544061, 0.0010140366806904322, 0.0, 0.0, 0.0, 0.0]","[0.007579358312347071, 0.00554700065269513, 0.0006695754397751503]","[0.007579358312347071, 0.00554700065269513, 0.0006695754397751503]","[0.034604946989543486, 0.16830340854385484, 0.0936628398380462]","[0.00757935831234707, 0.005547000652695144, 0.0006695754397751524]",0,0.009538530248394662,0.009416168007076706,0.009416168007076706,0.00035880626006306606,False,True,True,0.6,0.015,"[0.00762992594623023, 0.005633783716544061, 0.0010140366806904322]","[0.007579358312347071, 0.00554700065269513, 0.0006695754397751503]",0.009538530248394662,0.009538530248394662,0.009416168007076706,0.00035880626006306606,0.000538209390094599
5,2248.945502616,0.0004512119999162678,"[0.00762992594623023, 0.005580293169299899, 0.0015030107004841888, 0.0, 0.0, 0.0, 0.0]","[0.007609698892676967, 0.005566976162657992, 0.0011696365962005732]","[0.007609698892676967, 0.005566976162657992, 0.0011696365962005732]","[0.04205314569174024, 0.17312165254998904, 0.09435405215196617]","[0.007609698892676965, 0.0055669761626579994, 0.0011696365962005767]",0,0.009571545484719923,0.009500883674689582,0.009500883674689582,0.0003342525538694509,False,True,True,0.6,0.015,"[0.00762992594623023, 0.005580293169299899, 0.0015030107004841888]","[0.007609698892676967, 0.005566976162657992, 0.0011696365962005732]",0.009571545484719923,0.009571545484719923,0.009500883674689582,0.0003342525538694509,0.000501378830804176
6,2260.153533925,0.0002348880002500664,"[0.00762992594623023, 0.005633783716544061, 0.0015030107004841888, 0.0, 0.0, 0.0, 0.0]","[0.007621835124808924, 0.005607060694989633, 0.0013696610587707425]","[0.007621835124808924, 0.005607060694989633, 0.0013696610587707425]","[0.04948536593307533, 0.17795662372042995, 0.09513950056520808]","[0.0076218351248089206, 0.005607060694989646, 0.0013696610587707464]",0,0.009602829274517187,0.009560725480996811,0.009560725480996811,0.0001362413601567981,False,True,True,0.6,0.015,"[0.00762992594623023, 0.005633783716544061, 0.0015030107004841888]","[0.007621835124808924, 0.005607060694989633, 0.0013696610587707425]",0.009602829274517187,0.009602829274517187,0.009560725480996811,0.0001362413601567981,0.00020436204023519685
7,2271.606908325,0.00026496400005271425,"[0.0018202253622276688, 0.0038685956574866813, 0.0007346229550940012, 0.0, 0.0, 0.0, 0.0]","[0.004140869267260171, 0.004563981672487862, 0.0009886381965646977]","[0.004140869267260171, 0.004563981672487862, 0.0009886381965646977]","[0.053407763370188495, 0.18174194416068323, 0.09546390254437129]","[0.004140869267260171, 0.004563981672487866, 0.000988638196564695]",0,0.0043380783322310695,0.006241324577287387,0.006241324577287387,0.002435872243514248,False,True,True,0.6,0.015,"[0.0018202253622276688, 0.0038685956574866813, 0.0007346229550940012]","[0.004140869267260171, 0.004563981672487862, 0.0009886381965646977]",0.0043380783322310695,0.0043380783322310695,0.006241324577287387,0.002435872243514248,0.0036538083652713728
8,2282.816031179,0.00022753499979444314,"[0.0015297403330275404, 0.004456991677172475, -0.001291126555480136, 0.0, 0.0, 0.0, 0.0]","[0.0025741919067205927, 0.004499787675298629, -0.0003792206546622024]","[0.0025741919067205927, 0.004499787675298629, -0.0003792206546622024]","[0.055804296985396136, 0.18563980909661934, 0.0944180287947461]","[0.002574191906720591, 0.004499787675298628, -0.000379220654662199]",0,0.004885886621601234,0.005197918948994652,0.005197918948994652,0.0013871852649131168,False,True,True,0.6,0.015,"[0.0015297403330275404, 0.004456991677172475, -0.001291126555480136]","[0.0025741919067205927, 0.004499787675298629, -0.0003792206546622024]",0.004885886621601234,0.004885886621601234,0.005197918948994652,0.0013871852649131168,0.002080777897369675
9,2294.053302674,0.0002854730000763084,"[0.0015297403330275404, 0.004670953866149127, -0.001291126555480136, 0.0, 0.0, 0.0, 0.0]","[0.0019475209625047613, 0.004602487389808928, -0.0009263641951529625]","[0.0019475209625047613, 0.004602487389808928, -0.0009263641951529625]","[0.0575784790756833, 0.18968811959767018, 0.0929257659942499]","[0.0019475209625047646, 0.004602487389808924, -0.0009263641951529622]",0,0.00508182283127331,0.005082703876364141,0.005082703876364141,0.0005588200893492257,False,True,True,0.6,0.015,"[0.0015297403330275404, 0.004670953866149127, -0.001291126555480136]","[0.0019475209625047613, 0.004602487389808928, -0.0009263641951529625]",0.00508182283127331,0.00508182283127331,0.005082703876364141,0.0005588200893492257,0.0008382301340238387
